name,email,county,phone,address,website
Tara Iorg-Atteberry - Top Realtor in Oroville LPT Realty,Taraiorg@hotmail.com,Butte,(530) 321-3240,,https://orovilleluxuryhomes.com/
Pathfinder DRX,info@arborworks.biz,Butte,(630) 352-3215,"2015 Challenger Ave Suite G, Oroville, CA 95965",http://www.arborworks.biz/
Dewey Pest & Termite Control,Branch28@deweypest.com,Butte,(530) 809-9803,"2870 Feather River Blvd, Oroville, CA 95965",https://deweypest.com/location/oroville/?utm_source=gbplistings&utm_medium=organic&utm_campaign=oroville
Timios Title,info@timios.com,Butte,(530) 298-6763,"3044 Olive Hwy, Oroville, CA 95966",https://www.timios.com/
Timios Title,sales@timios.com,Butte,(530) 298-6763,"3044 Olive Hwy, Oroville, CA 95966",https://www.timios.com/
Olive Hill 55+ Manufactured Home Community,OLH@cobblestoneassets.com,Butte,(530) 207-8205,"2921 Wyandotte Ave, Oroville, CA 95966",https://livecobblestone.com/olive-hill/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb
P31 Enterprises Tree service Oroville,p31office@p31enterprises.com,Butte,(530) 353-6276,"2017 Challenger Ave Suite A, Oroville, CA 95965",http://p31enterprises.com/
P31 Enterprises Tree service Oroville,hr@p31.enterprises,Butte,(530) 353-6276,"2017 Challenger Ave Suite A, Oroville, CA 95965",http://p31enterprises.com/
P31 Enterprises Tree service Oroville,HR@p31enterprises.com,Butte,(530) 353-6276,"2017 Challenger Ave Suite A, Oroville, CA 95965",http://p31enterprises.com/
Kirk LaFountaine / Go West Realty,kirklafount@gmail.com,Butte,(530) 990-2838,"674 Oro Dam Blvd E #301, Oroville, CA 95965",http://www.norcalgoldhomes.com/
Lineman Life Properties,inemanlifeproperties@yahoo.com,Butte,(661) 237-9399,"1048 Tehama Ave, Oroville, CA 95965",https://www.linemanlifeproperties.com/
Lineman Life Properties,linemanlifeproperties@yahoo.com,Butte,(661) 237-9399,"1048 Tehama Ave, Oroville, CA 95965",https://www.linemanlifeproperties.com/
Oroville Lineman Housing,Orovillelinemanhousing@gmail.com,Butte,(209) 648-2460,"3240 Foothill Blvd, Oroville, CA 95966",https://orovillelinemanhousing.com/
Tree Star Solutions,accounting@treestarsolutions.com,Butte,(530) 399-0989,"1095 Nelson St #110, Chico, CA 95928",http://www.treestarsolutions.com/
Tree Star Solutions,evita@treestarsolutions.com,Butte,(530) 399-0989,"1095 Nelson St #110, Chico, CA 95928",http://www.treestarsolutions.com/
GO WEST REALTY,jrussosells@yahoo.com,Butte,(530) 532-9900,"674 Oro Dam Blvd E #301, Oroville, CA 95965",http://www.gowestrealty.org/
Morgan Stanley Financial Advisors,prospectus@morganstanley.com,Butte,(530) 879-3260,"555 Main St STE 100, Chico, CA 95928",https://advisor.morganstanley.com/chico-branch?y_source=1_MjM2MTkyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Morgan Stanley Financial Advisors,mediainquiries@morganstanley.com,Butte,(530) 879-3260,"555 Main St STE 100, Chico, CA 95928",https://advisor.morganstanley.com/chico-branch?y_source=1_MjM2MTkyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Morgan Stanley Financial Advisors,msfs-queries@morganstanley.com,Butte,(530) 879-3260,"555 Main St STE 100, Chico, CA 95928",https://advisor.morganstanley.com/chico-branch?y_source=1_MjM2MTkyMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Hunters Services,pest@huntersservices.com,Butte,(530) 342-8950,"2060 3rd St, Oroville, CA 95965",https://hunterspestcontrol.com/
DoorTru Real Estate,hello@doortru.com,Butte,(530) 534-3069,"2309 Lincoln St, Oroville, CA 95966",https://www.doortru.com/
"Ryan Midkiff - Financial Advisor, Ameriprise Financial Services, LLC",Ryan.Midkiff@ampf.com,Butte,(530) 532-1476,"1925 Bird St, Oroville, CA 95965",https://www.ameripriseadvisors.com/Ryan.Midkiff/?cid=IP_local_google
Peebles Real Estate Team,info@peeblesteam.com,Butte,(530) 532-0400,"1933 Montgomery St, Oroville, CA 95965",https://www.peeblesteam.com/
Peebles Real Estate Team,cindy@CindyPeebles.com,Butte,(530) 532-0400,"1933 Montgomery St, Oroville, CA 95965",https://www.peeblesteam.com/
Peebles Real Estate Team,Scott@PeeblesTeam.com,Butte,(530) 532-0400,"1933 Montgomery St, Oroville, CA 95965",https://www.peeblesteam.com/
"Nathan McGraw, Mortgage Lender NMLS #450618",nmcgraw@changemtg.com,Butte,(530) 518-1043,"2463 Beacon St, Chico, CA 95928",http://www.nathanmcgraw.net/
"Nathan McGraw, Mortgage Lender NMLS #450618",brokerapproval@changewholesale.com,Butte,(530) 518-1043,"2463 Beacon St, Chico, CA 95928",http://www.nathanmcgraw.net/
"Nathan McGraw, Mortgage Lender NMLS #450618",concierge@changewholesale.com,Butte,(530) 518-1043,"2463 Beacon St, Chico, CA 95928",http://www.nathanmcgraw.net/
Newrez,publicrelations@newrez.com,Butte,(530) 781-1700,"1051 Mangrove Ave, Chico, CA 95926",https://www.newrez.com/?utm_source=google&utm_medium=NR015&utm_campaign=gmb
Change Home Mortgage,info@changemtg.com,Butte,(530) 518-1043,"2463 Beacon St, Chico, CA 95928",https://www.changemtg.com/branches/chico
Change Home Mortgage,hr@changemtg.com,Butte,(530) 518-1043,"2463 Beacon St, Chico, CA 95928",https://www.changemtg.com/branches/chico
Change Home Mortgage,sales@changemtg.com,Butte,(530) 518-1043,"2463 Beacon St, Chico, CA 95928",https://www.changemtg.com/branches/chico
HII Mortgage Loans Paradise CA,loans@happyinvestmentsinc.com,Butte,(530) 413-8909,"3922 Pentz Rd # 2, Paradise, CA 95969",http://www.happyinvestmentsinc.com/mortgage-broker-paradise-ca/
HII Mortgage Loans Paradise CA,hii7479@gmail.com,Butte,(530) 413-8909,"3922 Pentz Rd # 2, Paradise, CA 95969",http://www.happyinvestmentsinc.com/mortgage-broker-paradise-ca/
Chase Mortgage,cra.public.comments@chase.com,Butte,(530) 533-6777,"2001 Oro Dam Blvd E, Oroville, CA 95966",https://www.chase.com/
Brines' Insurance & Financial Services,service@brinesinsurance.com,Butte,(530) 895-0110,"9012 Goodspeed St, Durham, CA 95938",http://www.brinesinsurance.com/
Brines' Insurance & Financial Services,erika@brinesinsurance.com,Butte,(530) 895-0110,"9012 Goodspeed St, Durham, CA 95938",http://www.brinesinsurance.com/
Brines' Insurance & Financial Services,rusty@brinesinsurance.com,Butte,(530) 895-0110,"9012 Goodspeed St, Durham, CA 95938",http://www.brinesinsurance.com/
Tanya Quackenbush,Tanya.Quackenbush@movement.com,Butte,(530) 514-0798,"901 Bruce Rd Suite 150, Chico, CA 95928",http://tloaning.com/
Tanya Quackenbush,servicing@movement.com,Butte,(530) 514-0798,"901 Bruce Rd Suite 150, Chico, CA 95928",http://tloaning.com/
Tanya Quackenbush,press@movement.com,Butte,(530) 514-0798,"901 Bruce Rd Suite 150, Chico, CA 95928",http://tloaning.com/
Linemans Landing: Northwest Lineman College Housing - NLC - Oroville,linemanslanding@gmail.com,Butte,(949) 939-0418,"720 Safford St, Oroville, CA 95965",https://www.linemanslanding.com/
Escue Insurance Agency,webmaster@escueinsurance.com,Butte,(530) 282-4114,"2120 Robinson St c, Oroville, CA 95965",http://escueinsuranceagency.com/
OneMain Financial,REModifications@onemainfinancial.com,Butte,(530) 532-9561,"475 Oro Dam Blvd E Ste A, Oroville, CA 95965",https://www.onemainfinancial.com/branches/CA/Oroville/95965/1939?utm_source=google&utm_medium=local&utm_campaign=google-local
Heritage Insurance Agency,info@heritage-agency.com,Butte,(530) 894-3276,"290 Airpark Blvd, Chico, CA 95973",http://www.heritage-agency.com/
Lori Rodgers,propertydata@naic.org,Butte,(530) 534-1927,"2212 5th Ave, Oroville, CA 95965",https://content.naic.org/?y_source=1_MTU1Mzc2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Lori Rodgers,help@naic.org,Butte,(530) 534-1927,"2212 5th Ave, Oroville, CA 95965",https://content.naic.org/?y_source=1_MTU1Mzc2NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
California Check Cashing Stores,customer.service@ccfi.com,Butte,(530) 532-1900,"1985 Oro Dam Blvd E, Oroville, CA 95965",https://www.californiacheckcash.com/us/ca/oroville/1985-oro-dam-blvd/
"Savage, Reimer & Associates, LLP",frontoffice@sralawoffice.com,Butte,(844) 590-9795,"1550 Humboldt Rd #4, Chico, CA 95928",https://sralawoffice.com/
"Minasian Law, LLP",amcclure@minasianlaw.com,Butte,(530) 533-2885,"1681 Bird St, Oroville, CA 95965",https://www.minasianlaw.com/
"Minasian Law, LLP",dcooper@minasianlaw.com,Butte,(530) 533-2885,"1681 Bird St, Oroville, CA 95965",https://www.minasianlaw.com/
"Minasian Law, LLP",elamoe@minasianlaw.com,Butte,(530) 533-2885,"1681 Bird St, Oroville, CA 95965",https://www.minasianlaw.com/
Liberty Tax,office21218@libertytax.com,Butte,(530) 456-2569,"1639 CA-99, Gridley, CA 95948",https://www.libertytax.com/21218
Law Offices of Aaron J. Stewart,info@chicolawfirm.com,Butte,(530) 345-2212,"2571 California Park Dr STE 100, Chico, CA 95928",http://chicolawfirm.com/
"Jarold Stokes - Financial Advisor, Ameriprise Financial Services, LLC",Jarold.Stokes@ampf.com,Butte,(530) 532-1476,"1925 Bird St, Oroville, CA 95965",https://www.ameripriseadvisors.com/Jarold.Stokes/?cid=IP_local_google
JL Services LLC,Jlbook.note@gmail.com,Butte,(530) 966-2970,"464 Pearson Rd, Paradise, CA 95969",http://jlservicesllc.godaddysites.com/
Forest Ranch Realty,jimcrane7@icloud.com,Butte,(530) 895-3063,"15511 Nopel Rd, Forest Ranch, CA 95942",http://www.jimcranerealty.com/
Forest Ranch Realty,KierstenRealtor@gmail.com,Butte,(530) 895-3063,"15511 Nopel Rd, Forest Ranch, CA 95942",http://www.jimcranerealty.com/
Forest Ranch Realty,kierstenmorgan@jimcranerealty.com,Butte,(530) 895-3063,"15511 Nopel Rd, Forest Ranch, CA 95942",http://www.jimcranerealty.com/
Delilah Ackley Mobile Notary,Delilahackleymobilenotary@gmail.com,Butte,(530) 354-5684,,https://delilahackleymobilenotary.neocities.org/
Chico Sierra Real Estate Management Inc.,sierraproperty@hotmail.com,Butte,(530) 899-2296,"180 E 9th Ave, Chico, CA 95926",https://www.sierraproperty.us/
RE/MAX Gold Oroville,info@norcalgold.com,Butte,(530) 538-9200,"672 Oroville Dam Blvd E E, Oroville, CA 95965",http://www.remaxgold.com/
RE/MAX Gold Oroville,marie.chatlaong@norcalgold.com,Butte,(530) 538-9200,"672 Oroville Dam Blvd E E, Oroville, CA 95965",http://www.remaxgold.com/
Legal Services of Northern California,chico-office@lsnc.net,Butte,(530) 345-9491,"541 Normal Ave, Chico, CA 95928",https://lsnc.net/office/chico
Golden Apple Insurance & Financial,GoldenAppleInsuranceAndFinancialServices@horacemann.com,Butte,(530) 892-8842,"2056 Talbert Dr STE 150, Chico, CA 95928",http://www.goldenappleinsurance.com/
Paradise Ridge Mobile Home Community,paradiseridge@boavidamhp.com,Butte,(530) 456-7669,"6656 Pentz Rd, Paradise, CA 95969",https://www.boavidacommunities.com/communities/paradise-ridge-mobile-home-community/
Paradise Ridge Mobile Home Community,info@BoaVidaCommunities.com,Butte,(530) 456-7669,"6656 Pentz Rd, Paradise, CA 95969",https://www.boavidacommunities.com/communities/paradise-ridge-mobile-home-community/
"Dayton Sayer Insurance Agency, Inc.",info@sayerins.com,Butte,(800) 432-9866,"1166 Esplanade, Chico, CA 95926",http://www.sayerins.com/
"Dayton Sayer Insurance Agency, Inc.",ray@sayerins.com,Butte,(800) 432-9866,"1166 Esplanade, Chico, CA 95926",http://www.sayerins.com/
Nevin & Witt Insurance Services,info@nevinandwitt.com,Butte,(530) 894-0111,"1600 Mangrove Ave #195, Chico, CA 95926",http://www.nevinandwitt.com/
Cost-U-Less Insurance,customercare@confie.com,Butte,(530) 206-0967,"166 Cohasset Rd # 3, Chico, CA 95926",https://locations.costulessdirect.com/chico-95926?utm_medium=directory&utm_source=google&utm_campaign=CHI1_Chico_CA
Cost-U-Less Insurance,accountspayable@confie.com,Butte,(530) 206-0967,"166 Cohasset Rd # 3, Chico, CA 95926",https://locations.costulessdirect.com/chico-95926?utm_medium=directory&utm_source=google&utm_campaign=CHI1_Chico_CA
Black Bear Insurance Services,ddj4ins@caltel.com,Calaveras,(209) 785-1800,"90 Copper Cove Dr Suite E, Copperopolis, CA 95228",https://blackbearinsurance.services/
Stevenson Wealth Management,donna.stevenson@lpl.com,Calaveras,(209) 785-4660,"111 Town Square Rd Suite A, Copperopolis, CA 95228",http://www.stevensonwealthmanagement.com/
Stevenson Wealth Management,admin2.stevenson@lpl.com,Calaveras,(209) 785-4660,"111 Town Square Rd Suite A, Copperopolis, CA 95228",http://www.stevensonwealthmanagement.com/
Prominent Mortgage Lending,julie@prominentmortgage.com,Calaveras,(925) 413-2524,"110 Bridlewood Ln, Copperopolis, CA 95228",http://www.prominentmortgage.com/
Prominent Mortgage Lending,loansharkjm@aol.com,Calaveras,(925) 413-2524,"110 Bridlewood Ln, Copperopolis, CA 95228",http://www.prominentmortgage.com/
Tribble & Ayala Inc,dan@tribbleayala.com,Calaveras,(209) 736-4631,"571 Stanislaus Ave STE A, Angels Camp, CA 95222",https://www.tribbleayala.com/
Tribble & Ayala Inc,doug@tribbleayala.com,Calaveras,(209) 736-4631,"571 Stanislaus Ave STE A, Angels Camp, CA 95222",https://www.tribbleayala.com/
Tribble & Ayala Inc,heather@tribbleayala.com,Calaveras,(209) 736-4631,"571 Stanislaus Ave STE A, Angels Camp, CA 95222",https://www.tribbleayala.com/
La Cobre Mina New Homes,mlemke@lemkehomes.com,Calaveras,(209) 559-1205,"116 Paseo Verde Dr, Copperopolis, CA 95228",http://miramonthomes.com/
Revere Tax Services,CINTHIAROBBINS@REVERETAXSERVICES.CO,Calaveras,(209) 743-2792,"230 Big Trees Rd Suite #3, Murphys, CA 95247",https://www.reveretaxservices.com/
Revere Tax Services,CINTHIAROBBINS@REVERETAXSERVICES.COM,Calaveras,(209) 743-2792,"230 Big Trees Rd Suite #3, Murphys, CA 95247",https://www.reveretaxservices.com/
Revere Tax Services,cinthiarobbins@yahoo.com,Calaveras,(209) 743-2792,"230 Big Trees Rd Suite #3, Murphys, CA 95247",https://www.reveretaxservices.com/
Summit Property Care LLC,office@spcsonora.com,Calaveras,(209) 213-1236,,https://spcsonora.com/
RE/MAX Gold: Stacey Silva,stacey@staceysilva.com,Calaveras,(209) 743-3172,"35 CA-4, Murphys, CA 95247",http://www.staceysilva.com/
RE/MAX Gold: Stacey Silva,quinn@realtor-genie.com,Calaveras,(209) 743-3172,"35 CA-4, Murphys, CA 95247",http://www.staceysilva.com/
Premier Properties,terri@premierproperties.com,Calaveras,(209) 728-2888,"202 Main St, Murphys, CA 95247",https://www.premierproperties.com/
Copy Center,foothillcc@comcast.net,Calaveras,(209) 736-6800,"520 N Main St, Angels Camp, CA 95222",https://copycenterangelscamp.com/
Affordable Accounting Solutions,info@affordablesolutions.us,Calaveras,,"2564 Silver Rapids Rd Unit B, Valley Springs, CA 95252",http://www.affordablesolutions.us/
Sierra Family Wealth,John@sierrafamilywealth.com,Calaveras,(209) 454-1777,"178 Big Trees Rd Suite B1, Murphys, CA 95247",https://www.sierrafamilywealth.com/
Arnold CA Real Estate,tim@skibear.com,Calaveras,(209) 770-5577,"728 CA-4, Arnold, CA 95223",http://www.skibear.com/
Arnold CA Real Estate,lisa@skibear.com,Calaveras,(209) 770-5577,"728 CA-4, Arnold, CA 95223",http://www.skibear.com/
Lupine Tax Preparation,bewinwolf@outlook.com,Calaveras,(209) 293-4840,"22405 General Ct Suite B, West Point, CA 95255",https://www.lupinetaxprep.com/
Gail's Taxes,gail@gailstaxes.com,Calaveras,(209) 795-5315,"2037 CA-4, Arnold, CA 95223",https://gailstaxes.com/
Gail's Taxes,stephen.calent@gmail.com,Calaveras,(209) 795-5315,"2037 CA-4, Arnold, CA 95223",https://gailstaxes.com/
All About Numbers,info@allaboutnumbers.com,Calaveras,(209) 955-2244,"15 St Andrews Rd #1, Valley Springs, CA 95252",https://allaboutnumbers.com/
Pine Grove Notary,mikekuhny@gmail.com,Calaveras,(209) 273-7877,,https://pinegrovenotary.mystrikingly.com/
Stark Realty,scott@starkrealty.com,Calaveras,(209) 754-3232,"8020 Mountain Ranch Rd, Mountain Ranch, CA 95246",http://www.starkrealty.com/
California Subpoena Company,support@greenfiling.com,Calaveras,(209) 920-9559,"10 Nove Way M, Valley Springs, CA 95252",https://www.calsubpoenas.com/
California Subpoena Company,Subpoenas@CalSubpoenas.com,Calaveras,(209) 920-9559,"10 Nove Way M, Valley Springs, CA 95252",https://www.calsubpoenas.com/
California Subpoena Company,ProcessService@Calubpoenas.com,Calaveras,(209) 920-9559,"10 Nove Way M, Valley Springs, CA 95252",https://www.calsubpoenas.com/
"Kim Briscoe-McMillian, Fox Realty & Management",kim@209resells.com,Calaveras,(209) 597-2928,"42 State Rte 26, Valley Springs, CA 95252",http://kimbriscoe-mcmillian.metrolistpro.com/
"Caprice Butzler, Busy Bee Realty",caprice@busybee.com,Calaveras,(209) 609-1974,"8 California St #8b, Valley Springs, CA 95252",https://www.busybee.com/caprice-briski-butzler
Your Preferred Real Estate,karyannstanger@gmail.com,Calaveras,(209) 293-7100,"305 Main St, West Point, CA 95255",https://www.yourpreferredrealestate.com/
Sabrina Julian Investment Services,sabrina@sabrinajulian.com,Calaveras,(209) 890-7491,"466A Main St, Murphys, CA 95247",https://www.sabrinajulian.com/
Sabrina Julian Investment Services,Brian@SabrinaJulian.com,Calaveras,(209) 890-7491,"466A Main St, Murphys, CA 95247",https://www.sabrinajulian.com/
Sabrina Julian Investment Services,slong@BARfinancial.net,Calaveras,(209) 890-7491,"466A Main St, Murphys, CA 95247",https://www.sabrinajulian.com/
CENTURY 21 Tri-Dam Realty,tridamoffice@gmail.com,Calaveras,(209) 772-1323,"6 California St, Valley Springs, CA 95252",http://www.century21tri-dam.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2201230001
CENTURY 21 Tri-Dam Realty,tridam21@aol.com,Calaveras,(209) 772-1323,"6 California St, Valley Springs, CA 95252",http://www.century21tri-dam.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=2201230001
Main Street Mortgage: Mark Hughes,greg@mortgageonmainstreet.com,Calaveras,(209) 728-9898,"402 Main St G, Murphys, CA 95247",https://www.mortgageonmainstreet.com/
"Lend4Less.com: Dennis Hughes, Mortgage Broker",Dennis@lend4less.com,Calaveras,(209) 602-4900,"2209 Hart Vickson Ln, Valley Springs, CA 95252",https://www.lend4less.com/
The Rusty Knife,emile@rustyknife.com,Calaveras,(209) 795-0444,"2275 CA-4, Arnold, CA 95223",http://www.rustyknife.com/
The Rusty Knife,emile@therustyknife.com,Calaveras,(209) 795-0444,"2275 CA-4, Arnold, CA 95223",http://www.rustyknife.com/
Notary By Karen,notarybykaren00@gmail.com,Calaveras,(925) 234-1455,,http://www.notarybykaren.com/
F. Eric Saunders,eric@fesaunderslaw.com,Calaveras,(209) 890-3453,"2037 CA-4, Arnold, CA 95223",https://fesaunderslaw.com/
Realty World,corporate@realtyworldhq.com,Calaveras,(209) 772-3501,"2 Nove Way, Valley Springs, CA 95252",http://www.realtyworld.com/
Alpine Modern,info@SierraVacationRentals.com,Calaveras,(925) 289-9854,,http://www.alpinemoderncabin.com/
Sam Snead Real Estate,marysamsnead@gmail.com,Calaveras,(209) 293-7979,"339 Main St, West Point, CA 95255",http://samsneadrealestate.com/
Copper Valley Properties,INFO@COPPERVALLEY.COM,Calaveras,(209) 785-5600,"999 Saddle Creek Dr, Copperopolis, CA 95228",http://coppervalley.com/
Copper Valley Properties,Info@CopperValleyGolf.com,Calaveras,(209) 785-5600,"999 Saddle Creek Dr, Copperopolis, CA 95228",http://coppervalley.com/
