name,email,phone,address,county,website
Protax Consulting Services,info@protaxconsulting.com,(212) 714-1805,"Seven Pennsylvania Plaza Suite 816, New York, NY 10001",New York,https://protaxconsulting.com/
"Wagner, Ferber, Fine & Ackerman",sackerman@wffaadvisors.com,(212) 576-1829,"237 W 35th St #1001, New York, NY 10001",New York,http://www.wffacpa.com/
"Hoberman & Lesser, CPAs",robert@hobermanlesser.com,(212) 463-0900,"252 W 37th St #600, New York, NY 10018",New York,http://www.hobermanlesser.com/
Next Level Group,info@nextlevelgroupnyc.com,(917) 754-2086,"5 Pennsylvania Plaza, New York, NY 10001",New York,http://nextlevelgroupnyc.com/
Picnic Tax,info@picnictax.com,(646) 355-8516,"413 W 14th St, New York, NY 10014",New York,http://www.picnictax.com/
NYB CPA P.C,info@nybcpa.com,(646) 801-9224,"450 7th Ave Suite 1901, New York, NY 10123",New York,http://nybcpa.com/
"Braj Aggarwal, CPA",baggarwal@aggarwalcpa.com,(718) 426-4661,"146 W 29th St STE 10W, New York, NY 10001",New York,https://www.aggarwalcpa.com/
K9Bookkeeping,info@k9bookkeeping.com,(929) 416-4116,"40 Wall St, New York, NY 10005",New York,https://www.k9bookkeeping.com/
Professional Bookkeeping - Probooks NY,wlee@probooksny.com,(646) 560-3231,"222 Broadway FL 19, New York, NY 10038",New York,http://www.probooksny.com/
"Manhattan Bookkeepers, Inc",info@manhattan-bookkeepers.com,(212) 390-1320,"14 Wall St 20th floor, New York, NY 10005",New York,http://www.manhattan-bookkeepers.com/
BestPro Bookkeeping & Tax,relations@bestprobooksntax.com,(800) 699-8953,"112 W 34th St 18th Floor, New York, NY 10120",New York,http://www.bestprobooksntax.com/
ProfitLine USA - NY Bookkeeping,info@profitlineusa.com,(212) 655-4028,"169 Madison Ave Ste 15860, New York, NY 10016",New York,https://profitlineusa.com/
Fincera Accounting,info@finceraaccounting.com,(646) 347-4827,"1178 Broadway 3rd floor, New York, NY 10001",New York,https://finceraaccounting.com/
LUO CPA PLLC,info@luocpapllc.com,(646) 216-9191,"333 W 39th St #805, New York, NY 10018",New York,https://www.luocpapllc.com/
Empire Tax Professionals,accounting@empiretaxusa.com,(212) 300-5776,"5 Pennsylvania Plaza, New York, NY 10001",New York,https://empiretaxusa.com/
doola,hello@doola.com,(551) 273-2773,"251 W 30th St # 12E, New York, NY 10001",New York,https://doola.com/
